title,budget,revenue,runtime,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,production_company,genre1,genre2,genre3
Winnie-the-Pooh: Blood and Honey 2,500000,7582541,93,9.2248,6.0,372,True,Rhys Frake-Waterfield,Scott Chambers,7082541,0.9340590443230047,Jagged Edge Productions,Horror,Thriller,
Five Feet Apart,7000000,92600000,116,9.2202,8.2,5721,False,Justin Baldoni,Haley Lu Richardson,85600000,0.9244060475161987,Wayfarer Entertainment,Romance,Drama,
After We Fell,14000000,21753705,99,9.2125,7.0,2650,True,Castille Landon,Josephine Langford,7753705,0.35643146765114264,Voltage Pictures,Romance,Drama,
Mortal Engines,100000000,83869818,128,9.212,6.2,4812,False,Christian Rivers,Hera Hilmar,-16130182,-0.19232403723589814,Scholastic Productions,Adventure,Science Fiction,
The Hateful Eight,44000000,155760117,188,9.2067,7.756,14533,False,Quentin Tarantino,Samuel L. Jackson,111760117,0.7175143364844802,The Weinstein Company,Drama,Mystery,Western
Bad Boys II,130000000,273339556,146,9.1955,6.646,5627,True,Michael Bay,Martin Lawrence,143339556,0.5244010713180496,Columbia Pictures,Action,Crime,Comedy
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,245623848,112,9.1878,6.033,3600,True,Dave Green,Pete Ploszek,110623848,0.4503791016253438,5150 Action,Action,Adventure,Comedy
Pokémon Detective Pikachu,150000000,449762638,105,9.1863,6.9,7010,True,Rob Letterman,Ryan Reynolds,299762638,0.6664907501720941,Legendary Pictures,Action,Adventure,Fantasy
Ma,5000000,61220856,99,9.1791,5.8,2310,True,Tate Taylor,Octavia Spencer,56220856,0.9183284859656323,Blumhouse Productions,Horror,Thriller,
The Hunger Games,75000000,694394724,142,9.1562,7.216,22405,True,Gary Ross,Jennifer Lawrence,619394724,0.8919922669228114,Lionsgate,Science Fiction,Adventure,Action
There Will Be Blood,25000000,77208711,158,9.1536,8.07,6843,False,Paul Thomas Anderson,Daniel Day-Lewis,52208711,0.6762023393966518,Paramount Vantage,Drama,,
